date,home_team,away_team,score
2023-09-19T16:45:00Z,AC Milan,Newcastle United FC,"{'home': 0, 'away': 0}"
2023-09-19T16:45:00Z,BSC Young Boys,RB Leipzig,"{'home': 1, 'away': 3}"
2023-09-19T19:00:00Z,SS Lazio,Club Atlético de Madrid,"{'home': 1, 'away': 1}"
2023-09-19T19:00:00Z,Feyenoord Rotterdam,Celtic FC,"{'home': 2, 'away': 0}"
2023-09-19T19:00:00Z,Paris Saint-Germain FC,Borussia Dortmund,"{'home': 2, 'away': 0}"
2023-09-19T19:00:00Z,Manchester City FC,FK Crvena Zvezda,"{'home': 3, 'away': 1}"
2023-09-19T19:00:00Z,FC Barcelona,Royal Antwerp FC,"{'home': 5, 'away': 0}"
2023-09-19T19:00:00Z,FK Shakhtar Donetsk,FC Porto,"{'home': 1, 'away': 3}"
2023-09-20T16:45:00Z,Real Madrid CF,1. FC Union Berlin,"{'home': 1, 'away': 0}"
2023-09-20T16:45:00Z,Galatasaray SK,FC København,"{'home': 2, 'away': 2}"
2023-09-20T19:00:00Z,Sevilla FC,Racing Club de Lens,"{'home': 1, 'away': 1}"
2023-09-20T19:00:00Z,Sporting Clube de Braga,SSC Napoli,"{'home': 1, 'away': 2}"
2023-09-20T19:00:00Z,Real Sociedad de Fútbol,FC Internazionale Milano,"{'home': 1, 'away': 1}"
2023-09-20T19:00:00Z,Sport Lisboa e Benfica,FC Red Bull Salzburg,"{'home': 0, 'away': 2}"
2023-09-20T19:00:00Z,FC Bayern München,Manchester United FC,"{'home': 4, 'away': 3}"
2023-09-20T19:00:00Z,Arsenal FC,PSV,"{'home': 4, 'away': 0}"
2023-10-03T16:45:00Z,1. FC Union Berlin,Sporting Clube de Braga,"{'home': 2, 'away': 3}"
2023-10-03T16:45:00Z,FC Red Bull Salzburg,Real Sociedad de Fútbol,"{'home': 0, 'away': 2}"
2023-10-03T19:00:00Z,SSC Napoli,Real Madrid CF,"{'home': 2, 'away': 3}"
2023-10-03T19:00:00Z,FC Internazionale Milano,Sport Lisboa e Benfica,"{'home': 1, 'away': 0}"
2023-10-03T19:00:00Z,FC København,FC Bayern München,"{'home': 1, 'away': 2}"
2023-10-03T19:00:00Z,Manchester United FC,Galatasaray SK,"{'home': 2, 'away': 3}"
2023-10-03T19:00:00Z,Racing Club de Lens,Arsenal FC,"{'home': 2, 'away': 1}"
2023-10-03T19:00:00Z,PSV,Sevilla FC,"{'home': 2, 'away': 2}"
2023-10-04T16:45:00Z,Club Atlético de Madrid,Feyenoord Rotterdam,"{'home': 3, 'away': 2}"
2023-10-04T16:45:00Z,Royal Antwerp FC,FK Shakhtar Donetsk,"{'home': 2, 'away': 3}"
2023-10-04T19:00:00Z,Celtic FC,SS Lazio,"{'home': 1, 'away': 2}"
2023-10-04T19:00:00Z,Borussia Dortmund,AC Milan,"{'home': 0, 'away': 0}"
2023-10-04T19:00:00Z,Newcastle United FC,Paris Saint-Germain FC,"{'home': 4, 'away': 1}"
2023-10-04T19:00:00Z,FK Crvena Zvezda,BSC Young Boys,"{'home': 2, 'away': 2}"
2023-10-04T19:00:00Z,RB Leipzig,Manchester City FC,"{'home': 1, 'away': 3}"
2023-10-04T19:00:00Z,FC Porto,FC Barcelona,"{'home': 0, 'away': 1}"
2023-10-24T16:45:00Z,FC Internazionale Milano,FC Red Bull Salzburg,"{'home': 2, 'away': 1}"
2023-10-24T16:45:00Z,Galatasaray SK,FC Bayern München,"{'home': 1, 'away': 3}"
2023-10-24T19:00:00Z,1. FC Union Berlin,SSC Napoli,"{'home': 0, 'away': 1}"
2023-10-24T19:00:00Z,Sporting Clube de Braga,Real Madrid CF,"{'home': 1, 'away': 2}"
2023-10-24T19:00:00Z,Sport Lisboa e Benfica,Real Sociedad de Fútbol,"{'home': 0, 'away': 1}"
2023-10-24T19:00:00Z,Manchester United FC,FC København,"{'home': 1, 'away': 0}"
2023-10-24T19:00:00Z,Sevilla FC,Arsenal FC,"{'home': 1, 'away': 2}"
2023-10-24T19:00:00Z,Racing Club de Lens,PSV,"{'home': 1, 'away': 1}"
2023-10-25T16:45:00Z,Feyenoord Rotterdam,SS Lazio,"{'home': 3, 'away': 1}"
2023-10-25T16:45:00Z,FC Barcelona,FK Shakhtar Donetsk,"{'home': 2, 'away': 1}"
2023-10-25T19:00:00Z,Celtic FC,Club Atlético de Madrid,"{'home': 2, 'away': 2}"
2023-10-25T19:00:00Z,Paris Saint-Germain FC,AC Milan,"{'home': 3, 'away': 0}"
2023-10-25T19:00:00Z,Newcastle United FC,Borussia Dortmund,"{'home': 0, 'away': 1}"
2023-10-25T19:00:00Z,BSC Young Boys,Manchester City FC,"{'home': 1, 'away': 3}"
2023-10-25T19:00:00Z,RB Leipzig,FK Crvena Zvezda,"{'home': 3, 'away': 1}"
2023-10-25T19:00:00Z,Royal Antwerp FC,FC Porto,"{'home': 1, 'away': 4}"
2023-11-07T17:45:00Z,Borussia Dortmund,Newcastle United FC,"{'home': 2, 'away': 0}"
2023-11-07T17:45:00Z,FK Shakhtar Donetsk,FC Barcelona,"{'home': 1, 'away': 0}"
2023-11-07T20:00:00Z,Club Atlético de Madrid,Celtic FC,"{'home': 6, 'away': 0}"
2023-11-07T20:00:00Z,SS Lazio,Feyenoord Rotterdam,"{'home': 1, 'away': 0}"
2023-11-07T20:00:00Z,AC Milan,Paris Saint-Germain FC,"{'home': 2, 'away': 1}"
2023-11-07T20:00:00Z,Manchester City FC,BSC Young Boys,"{'home': 3, 'away': 0}"
2023-11-07T20:00:00Z,FK Crvena Zvezda,RB Leipzig,"{'home': 1, 'away': 2}"
2023-11-07T20:00:00Z,FC Porto,Royal Antwerp FC,"{'home': 2, 'away': 0}"
2023-11-08T17:45:00Z,SSC Napoli,1. FC Union Berlin,"{'home': 1, 'away': 1}"
2023-11-08T17:45:00Z,Real Sociedad de Fútbol,Sport Lisboa e Benfica,"{'home': 3, 'away': 1}"
2023-11-08T20:00:00Z,Real Madrid CF,Sporting Clube de Braga,"{'home': 3, 'away': 0}"
2023-11-08T20:00:00Z,FC Red Bull Salzburg,FC Internazionale Milano,"{'home': 0, 'away': 1}"
2023-11-08T20:00:00Z,FC Bayern München,Galatasaray SK,"{'home': 2, 'away': 1}"
2023-11-08T20:00:00Z,FC København,Manchester United FC,"{'home': 4, 'away': 3}"
2023-11-08T20:00:00Z,Arsenal FC,Sevilla FC,"{'home': 2, 'away': 0}"
2023-11-08T20:00:00Z,PSV,Racing Club de Lens,"{'home': 1, 'away': 0}"
2023-11-28T17:45:00Z,SS Lazio,Celtic FC,"{'home': 2, 'away': 0}"
2023-11-28T17:45:00Z,FK Shakhtar Donetsk,Royal Antwerp FC,"{'home': 1, 'away': 0}"
2023-11-28T20:00:00Z,Feyenoord Rotterdam,Club Atlético de Madrid,"{'home': 1, 'away': 3}"
2023-11-28T20:00:00Z,AC Milan,Borussia Dortmund,"{'home': 1, 'away': 3}"
2023-11-28T20:00:00Z,Paris Saint-Germain FC,Newcastle United FC,"{'home': 1, 'away': 1}"
2023-11-28T20:00:00Z,BSC Young Boys,FK Crvena Zvezda,"{'home': 2, 'away': 0}"
2023-11-28T20:00:00Z,Manchester City FC,RB Leipzig,"{'home': 3, 'away': 2}"
2023-11-28T20:00:00Z,FC Barcelona,FC Porto,"{'home': 2, 'away': 1}"
2023-11-29T17:45:00Z,Galatasaray SK,Manchester United FC,"{'home': 3, 'away': 3}"
2023-11-29T17:45:00Z,Sevilla FC,PSV,"{'home': 2, 'away': 3}"
2023-11-29T20:00:00Z,Sporting Clube de Braga,1. FC Union Berlin,"{'home': 1, 'away': 1}"
2023-11-29T20:00:00Z,Real Madrid CF,SSC Napoli,"{'home': 4, 'away': 2}"
2023-11-29T20:00:00Z,Sport Lisboa e Benfica,FC Internazionale Milano,"{'home': 3, 'away': 3}"
2023-11-29T20:00:00Z,Real Sociedad de Fútbol,FC Red Bull Salzburg,"{'home': 0, 'away': 0}"
2023-11-29T20:00:00Z,FC Bayern München,FC København,"{'home': 0, 'away': 0}"
2023-11-29T20:00:00Z,Arsenal FC,Racing Club de Lens,"{'home': 6, 'away': 0}"
2023-12-12T17:45:00Z,PSV,Arsenal FC,"{'home': 1, 'away': 1}"
2023-12-12T17:45:00Z,Racing Club de Lens,Sevilla FC,"{'home': 2, 'away': 1}"
2023-12-12T20:00:00Z,1. FC Union Berlin,Real Madrid CF,"{'home': 2, 'away': 3}"
2023-12-12T20:00:00Z,SSC Napoli,Sporting Clube de Braga,"{'home': 2, 'away': 0}"
2023-12-12T20:00:00Z,FC Internazionale Milano,Real Sociedad de Fútbol,"{'home': 0, 'away': 0}"
2023-12-12T20:00:00Z,FC Red Bull Salzburg,Sport Lisboa e Benfica,"{'home': 1, 'away': 3}"
2023-12-12T20:00:00Z,Manchester United FC,FC Bayern München,"{'home': 0, 'away': 1}"
2023-12-12T20:00:00Z,FC København,Galatasaray SK,"{'home': 1, 'away': 0}"
2023-12-13T17:45:00Z,RB Leipzig,BSC Young Boys,"{'home': 2, 'away': 1}"
2023-12-13T17:45:00Z,FK Crvena Zvezda,Manchester City FC,"{'home': 2, 'away': 3}"
2023-12-13T20:00:00Z,Club Atlético de Madrid,SS Lazio,"{'home': 2, 'away': 0}"
2023-12-13T20:00:00Z,Celtic FC,Feyenoord Rotterdam,"{'home': 2, 'away': 1}"
2023-12-13T20:00:00Z,Newcastle United FC,AC Milan,"{'home': 1, 'away': 2}"
2023-12-13T20:00:00Z,Borussia Dortmund,Paris Saint-Germain FC,"{'home': 1, 'away': 1}"
2023-12-13T20:00:00Z,Royal Antwerp FC,FC Barcelona,"{'home': 3, 'away': 2}"
